Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,URL/Filename,Threat/Content Name,Category,Severity,Direction,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,contenttype,pcap_id,filedigest,cloud,url_idx,user_agent,filetype,xff,referer,sender,subject,recipient,reportid,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,file_url,Source VM UUID,Destination VM UUID,http_method,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,thr_category,contentver,sig_flags,SCTP Association ID,Payload Protocol ID,http_headers,URL Category List,UUID for rule,HTTP/2 Connection,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,domain_edl,Source Dynamic Address Group,Destination Dynamic Address Group,partial_hash,Timestamp,,,
1,2021-04-21 11:15:43,12801044041,THREAT,spyware,2560,2021-04-21 11:15:43,172.31.99.248,13.67.92.50,202.129.165.66,13.67.92.50,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 11:15:43,64859,1,53218,443,36530,443,0x80403400,tcp,alert,wdcpalt.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21261699,0x2000000000000000,172.16.0.0-172.31.255.255,Singapore,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T11:15:44.447+08:00,,,
1,2021-04-21 10:50:29,12801044041,THREAT,vulnerability,2560,2021-04-21 10:50:29,51.159.91.194,202.129.165.66,,,rule1,,,sip,vsys1,Real_Internet,Real_Internet,ethernet1/1,ethernet1/1,,2021-04-21 10:50:29,56042,1,56412,5060,0,0,0x80002000,udp,alert,,SIP Invalid Sent-by Address Found(37299),any,informational,client-to-server,21260990,0x2000000000000000,France,Malaysia,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,dos,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T10:50:29.116+08:00,,,
1,2021-04-21 09:32:08,12801044041,THREAT,spyware,2560,2021-04-21 09:32:08,172.31.99.248,138.91.136.108,202.129.165.66,138.91.136.108,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 09:32:08,52617,1,52505,443,41986,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21258862,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T09:32:09.093+08:00,,,
1,2021-04-21 08:19:05,12801044041,THREAT,spyware,2560,2021-04-21 08:19:05,172.31.99.248,52.114.88.21,202.129.165.66,52.114.88.21,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 08:19:05,50215,1,52096,443,26726,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21257068,0x2000000000000000,172.16.0.0-172.31.255.255,United Kingdom,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T08:19:06.764+08:00,,,
1,2021-04-21 08:02:08,12801044041,THREAT,spyware,2560,2021-04-21 08:02:08,172.31.99.248,138.91.140.216,202.129.165.66,138.91.140.216,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 08:02:08,47063,1,51915,443,6870,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21256510,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T08:02:08.951+08:00,,,
1,2021-04-21 08:00:05,12801044041,THREAT,spyware,2560,2021-04-21 08:00:05,172.31.100.45,13.250.126.156,,,rule1,,,ssl,vsys1,ServiceNet_To_Core_Router,ServiceNet,ethernet1/8,ethernet1/7,,2021-04-21 08:00:05,33422,1,44018,443,0,0,0x80003400,tcp,alert,mirrors.fedoraproject.org/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21256394,0x2000000000000000,172.16.0.0-172.31.255.255,Singapore,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T08:00:05.622+08:00,,,
1,2021-04-21 07:32:32,12801044041,THREAT,spyware,2560,2021-04-21 07:32:32,172.31.99.248,52.114.128.70,202.129.165.66,52.114.128.70,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 07:32:32,17308,1,51707,443,27799,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21255668,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T07:32:32.656+08:00,,,
1,2021-04-21 05:02:07,12801044041,THREAT,spyware,2560,2021-04-21 05:02:07,172.31.99.248,52.114.77.33,202.129.165.66,52.114.77.33,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 05:02:07,17114,1,50575,443,31057,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21251581,0x2000000000000000,172.16.0.0-172.31.255.255,Ireland,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T05:02:08.656+08:00,,,
1,2021-04-21 04:58:15,12801044041,THREAT,spyware,2560,2021-04-21 04:58:15,172.31.100.45,13.250.126.156,,,rule1,,,ssl,vsys1,ServiceNet_To_Core_Router,ServiceNet,ethernet1/8,ethernet1/7,,2021-04-21 04:58:15,12274,1,43980,443,0,0,0x80003400,tcp,alert,mirrors.fedoraproject.org/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21251400,0x2000000000000000,172.16.0.0-172.31.255.255,Singapore,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:58:16.311+08:00,,,
1,2021-04-21 04:57:07,12801044041,THREAT,spyware,2560,2021-04-21 04:57:07,172.31.99.248,20.54.24.69,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 04:57:07,13048,1,50483,443,0,0,0x80003400,tcp,alert,geo.prod.do.dsp.mp.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21251326,0x2000000000000000,172.16.0.0-172.31.255.255,Ireland,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:57:08.935+08:00,,,
1,2021-04-21 04:57:07,12801044041,THREAT,spyware,2560,2021-04-21 04:57:07,172.31.99.248,20.54.24.69,202.129.165.66,20.54.24.69,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 04:57:07,14829,1,50483,443,34045,443,0x80403400,tcp,alert,geo.prod.do.dsp.mp.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21251325,0x2000000000000000,172.16.0.0-172.31.255.255,Ireland,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:57:08.934+08:00,,,
1,2021-04-21 04:23:31,12801044041,THREAT,spyware,2560,2021-04-21 04:23:31,172.31.99.248,52.170.57.27,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 04:23:31,61015,1,50190,443,0,0,0x80003400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21250431,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:23:31.762+08:00,,,
1,2021-04-21 04:23:31,12801044041,THREAT,spyware,2560,2021-04-21 04:23:31,172.31.99.248,52.170.57.27,202.129.165.66,52.170.57.27,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 04:23:31,64555,1,50190,443,52096,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21250430,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:23:31.761+08:00,,,
1,2021-04-21 04:03:29,12801044041,THREAT,spyware,2560,2021-04-21 04:03:29,172.31.99.248,40.119.249.228,202.129.165.66,40.119.249.228,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 04:03:29,55329,1,50009,443,32420,443,0x80403400,tcp,alert,settings-win.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21249828,0x2000000000000000,172.16.0.0-172.31.255.255,Singapore,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:03:30.018+08:00,,,
1,2021-04-21 04:03:29,12801044041,THREAT,spyware,2560,2021-04-21 04:03:29,172.31.99.248,40.119.249.228,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 04:03:29,48291,1,50009,443,0,0,0x80003400,tcp,alert,settings-win.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21249827,0x2000000000000000,172.16.0.0-172.31.255.255,Singapore,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T04:03:30.010+08:00,,,
1,2021-04-21 03:30:30,12801044041,THREAT,spyware,2560,2021-04-21 03:30:30,172.31.99.248,52.114.75.150,202.129.165.66,52.114.75.150,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 03:30:30,45379,1,49790,443,20917,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21248911,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T03:30:31.355+08:00,,,
1,2021-04-21 03:30:30,12801044041,THREAT,spyware,2560,2021-04-21 03:30:30,172.31.99.248,52.114.75.150,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 03:30:30,39026,1,49790,443,0,0,0x80003400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21248910,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T03:30:31.191+08:00,,,
1,2021-04-21 03:30:30,12801044041,THREAT,spyware,2560,2021-04-21 03:30:30,172.31.99.248,52.114.75.150,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 03:30:30,36853,1,49789,443,0,0,0x80003400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21248909,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T03:30:30.834+08:00,,,
1,2021-04-21 03:30:30,12801044041,THREAT,spyware,2560,2021-04-21 03:30:30,172.31.99.248,52.114.75.150,202.129.165.66,52.114.75.150,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 03:30:30,39370,1,49789,443,4943,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21248908,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T03:30:30.833+08:00,,,
